Term	Notes	English	Chinese (Simplified)
mixJade_golden_berry_name		Golden Berry	金树莓
mixJade_golden_berry_description		A delicious berry made of gold	这是金子做的树莓
mixJade_idea_golden_berry_status		Gilding a berry...	点石成金树莓
mixJade_golden_banana_name		GoldenBanana	金香蕉
mixJade_golden_banana_description		A delicious banana made of gold	这是金子做的香蕉
mixJade_idea_golden_banana_status		Gilding a banana...	点沙成金香蕉
golden_helmet_name		GoldenHelmet	金光神盔
golden_helmet_description		GoldenHelmet	金光闪闪的头盔
mixJade_idea_golden_helmet_status		Made GoldenHelmet	金树莓点化石头
gold_torso_name		GoldenHelmet	金光神袍
gold_torso_description		GoldenHelmet	金光闪闪的战袍
